#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 474 ORPS                        1641                0
 475 OR_LOCK                       17                0
 476 OUT                           12                0
 477 OUTSB                          6                0
 478 OUTSD                         12                0
 479 OUTSW                          1                0
 483 PACKSSDW                      35                0
 484 PACKSSWB                      14                0
 486 PACKUSWB                     100                0
 487 PADDB                          7                0
 488 PADDD                        434                0
 489 PADDQ                        378                0
 491 PADDSW                        20                0
 493 PADDUSW                        2                0
 494 PADDW                         20                0
 495 PALIGNR                       28                0
 496 PAND                         934                0
 497 PANDN                         63                0
 498 PAUSE                          9                0
 504 PCLMULQDQ                     60                0
 505 PCMPEQB                     1579                0
 506 PCMPEQD                      164                0
 508 PCMPEQW                       10                0
 511 PCMPGTB                        5                0
 512 PCMPGTD                       15                0
 514 PCMPGTW                        7                0
 521 PEXTRD                         4                0
 523 PEXTRW                        39                0
 554 PINSRD                         2                0
 556 PINSRW                        85                0
 558 PMADDWD                       12                0
 561 PMAXSW                         4                0
 562 PMAXUB                         4                0
 567 PMINSW                         4                0
 568 PMINUB                         4                0
 571 PMOVMSKB                      53                0
 587 PMULHUW                        2                0
 591 PMULUDQ                      111                0
 592 POP                       369194                0
 598 POPFQ                          7                0
 599 POR                         1471                0
 600 PREFETCHNTA                  592                0
 601 PREFETCHT0                 21965                0
 602 PREFETCHT1                   653                0
 603 PREFETCHT2                  1095                0
 604 PREFETCHW                   2753                0
 606 PREFETCH_EXCLUSIVE             7427                0
 608 PSADBW                         8                0
 609 PSHUFB                       139                0
 610 PSHUFD                     57961                0
 611 PSHUFHW                       21                0
 612 PSHUFLW                       21                0
 617 PSLLD                       1421                0
 618 PSLLDQ                       124                0
 619 PSLLQ                       1376                0
 620 PSLLW                         11                0
 621 PSRAD                         56                0
 622 PSRAW                         10                0
 623 PSRLD                       1201                0
 624 PSRLDQ                        81                0
 625 PSRLQ                        452                0
 626 PSRLW                        100                0
 627 PSUBB                         41                0
 628 PSUBD                          8                0
 629 PSUBQ                         29                0
 631 PSUBSW                        20                0
 632 PSUBUSB                        1                0
 633 PSUBUSW                        2                0
 634 PSUBW                          2                0
 638 PUNPCKHBW                     65                0
 639 PUNPCKHDQ                     69                0
 640 PUNPCKHQDQ                    67                0
 641 PUNPCKHWD                     92                0
 642 PUNPCKLBW                     96                0
 643 PUNPCKLDQ                    443                0
 644 PUNPCKLQDQ                    95                0
 645 PUNPCKLWD                    109                0
 646 PUSH                      574526                0
 651 PUSHFQ                        11                0
 652 PXOR                       64697                0
 653 RCL                            6                0
 656 RCR                           30                0
 660 RDPID                          1                0
 661 RDPKRU                         2                0
 663 RDRAND                         1                0
 667 RDTSC                         31                0
 703 RET_FAR                       17                0
 704 RET_NEAR                  122133                0
 705 ROL                         5683                0
 706 ROR                         3855                0
 707 RORX                         586                0
 713 RSQRTPS                        2                0
 716 SAHF                           7                0
 718 SAR                        39668                0
 721 SBB                         3292                0
 723 SCASB                          8                0
 724 SCASD                          1                0
 727 SETB                         692                0
 728 SETBE                        792                0
 729 SETL                         312                0
 730 SETLE                        670                0
 731 SETNB                        809                0
 732 SETNBE                      2103                0
 733 SETNL                        195                0
