#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 437 MOVSD_XMM                 494400                0
 438 MOVSHDUP                    2011                0
 439 MOVSLDUP                    2082                0
 441 MOVSS                     577059                0
 442 MOVSW                          6                0
 443 MOVSX                      30807                0
 444 MOVSXD                    126133                0
 445 MOVUPD                        45                0
 446 MOVUPS                     24635                0
 447 MOVZX                     141258                0
 450 MPSADBW                        6                0
 451 MUL                         1646                0
 452 MULPD                     143291                0
 453 MULPS                     152465                0
 454 MULSD                     102258                0
 455 MULSS                      96967                0
 459 NEG                        28800                0
 461 NOP                       551844                0
 470 NOT                        12782                0
 472 OR                         39252                0
 473 ORPD                        2327                0
 474 ORPS                        1666                0
 475 OR_LOCK                       41                0
 476 OUT                           12                0
 477 OUTSB                          6                0
 478 OUTSD                         18                0
 479 OUTSW                          1                0
 480 PABSB                          1                0
 481 PABSD                         92                0
 482 PABSW                        814                0
 483 PACKSSDW                   39669                0
 484 PACKSSWB                     435                0
 485 PACKUSDW                    2217                0
 486 PACKUSWB                   11205                0
 487 PADDB                        634                0
 488 PADDD                     138380                0
 489 PADDQ                        456                0
 490 PADDSB                       366                0
 491 PADDSW                       898                0
 492 PADDUSB                      602                0
 493 PADDUSW                      430                0
 494 PADDW                      34848                0
 495 PALIGNR                     6124                0
 496 PAND                        5101                0
 497 PANDN                       1119                0
 498 PAUSE                         14                0
 499 PAVGB                       1237                0
 500 PAVGUSB                      188                0
 501 PAVGW                        859                0
 502 PBLENDVB                      10                0
 504 PCLMULQDQ                     60                0
 505 PCMPEQB                     2086                0
 506 PCMPEQD                      293                0
 508 PCMPEQW                      774                0
 511 PCMPGTB                      631                0
 512 PCMPGTD                      268                0
 514 PCMPGTW                      752                0
 519 PEXT                          15                0
 520 PEXTRB                       317                0
 521 PEXTRD                       543                0
 523 PEXTRW                       230                0
 524 PEXTRW_SSE4                  307                0
 525 PF2ID                          4                0
 535 PFMUL                          4                0
 544 PHADDD                      2602                0
 546 PHADDW                       590                0
 548 PHSUBD                        24                0
 553 PINSRB                      1050                0
 554 PINSRD                        48                0
 555 PINSRQ                         8                0
 556 PINSRW                       600                0
 557 PMADDUBSW                  10056                0
 558 PMADDWD                   129449                0
 560 PMAXSD                         8                0
 561 PMAXSW                     16197                0
 562 PMAXUB                       156                0
 566 PMINSD                         8                0
 567 PMINSW                      9873                0
 568 PMINUB                       141                0
 569 PMINUD                         6                0
 570 PMINUW                        15                0
 571 PMOVMSKB                      92                0
 574 PMOVSXBW                      24                0
 576 PMOVSXWD                      38                0
 580 PMOVZXBW                    1129                0
 582 PMOVZXWD                      45                0
 584 PMULDQ                        16                0
 585 PMULHRSW                    7841                0
 586 PMULHRW                        4                0
 587 PMULHUW                       14                0
 588 PMULHW                       479                0
 589 PMULLD                       258                0
 590 PMULLW                      2996                0
 591 PMULUDQ                     3671                0
 592 POP                       431500                0
 595 POPCNT                        12                0
 598 POPFQ                          7                0
 599 POR                         4526                0
 600 PREFETCHNTA                  614                0
 601 PREFETCHT0                 22067                0
 602 PREFETCHT1                   653                0
 603 PREFETCHT2                  1095                0
 604 PREFETCHW                   2753                0
 606 PREFETCH_EXCLUSIVE             7427                0
 608 PSADBW                      6542                0
 609 PSHUFB                      4124                0
 610 PSHUFD                    183381                0
 611 PSHUFHW                     8317                0
 612 PSHUFLW                     9473                0
 613 PSHUFW                       524                0
 614 PSIGNB                         7                0
 615 PSIGND                        25                0
 616 PSIGNW                       101                0
 617 PSLLD                       1668                0
 618 PSLLDQ                      1770                0
 619 PSLLQ                       1717                0
 620 PSLLW                      12066                0
 621 PSRAD                      44698                0
 622 PSRAW                       9260                0
 623 PSRLD                      12019                0
 624 PSRLDQ                      3472                0
 625 PSRLQ                       2469                0
 626 PSRLW                       1212                0
 627 PSUBB                        629                0
 628 PSUBD                       3483                0
 629 PSUBQ                         39                0
 630 PSUBSB                       129                0
 631 PSUBSW                       235                0
 632 PSUBUSB                     2087                0
 633 PSUBUSW                      221                0
 634 PSUBW                      34149                0
 638 PUNPCKHBW                   6078                0
 639 PUNPCKHDQ                   2542                0
 640 PUNPCKHQDQ                  1394                0
 641 PUNPCKHWD                   7073                0
 642 PUNPCKLBW                  40256                0
 643 PUNPCKLDQ                  12214                0
 644 PUNPCKLQDQ                 32772                0
 645 PUNPCKLWD                  20620                0
 646 PUSH                      647231                0
 651 PUSHFQ                        11                0
 652 PXOR                       85169                0
 653 RCL                            7                0
 655 RCPSS                          2                0
 656 RCR                           32                0
 660 RDPID                          1                0
 661 RDPKRU                         2                0
 663 RDRAND                         1                0
 667 RDTSC                         34                0
 703 RET_FAR                       17                0
 704 RET_NEAR                  148426                0
 705 ROL                         8132                0
 706 ROR                         4509                0
 707 RORX                         586                0
 713 RSQRTPS                        6                0
 716 SAHF                           7                0
 718 SAR                        76458                0
 721 SBB                         4653                0
 723 SCASB                          8                0
 724 SCASD                          1                0
 727 SETB                         927                0
 728 SETBE                       1108                0
 729 SETL                         846                0
 730 SETLE                       1065                0
 731 SETNB                       1495                0
 732 SETNBE                      2496                0
 733 SETNL                        407                0
 734 SETNLE                      1945                0
 736 SETNP                       2216                0
 737 SETNS                          1                0
 738 SETNZ                       8237                0
 739 SETO                           3                0
 740 SETP                        2667                0
